VideoId,Label
i4Gp,18 15 49 11 2 5 26 7 21 66
TEGp,18 15 11 126 220 276 2 291 26 49
jBGp,3 4 6 9 10 13 28 38 33 0
G9Gp,15 0 11 18 2 5 7 1 12 49
r7Gp,12 0 2 19 15 17 7 11 18 52
mlGp,5 1 0 16 11 15 35 26 81 42
2LGp,0 12 2 7 5 1 17 19 15 16
r6Gp,5 0 16 1 12 2 7 19 25 17
znGp,5 16 1 25 15 0 84 6 11 14
j4Gp,50 65 18 15 39 8 66 256 13 6
d3Gp,5 16 1 0 26 15 11 18 49 6
6zGp,0 26 1 15 2 7 12 5 16 17
jQGp,1 25 0 16 35 5 12 19 36 15
63Gp,2 9 18 13 10 46 44 15 4 7
1jGp,0 1 5 6 16 4 8 3 12 81
qUGp,17 19 2 0 12 15 7 1 11 30
bIGp,1 0 27 35 15 42 11 7 17 4
xwGp,8 6 3 4 13 12 206 383 15 71
dQGp,15 26 12 18 0 23 21 1 64 11
kiGp,5 16 0 1 6 14 15 81 26 12
XdGp,9 2 4 15 10 18 7 13 17 11
dsGp,1 0 36 35 7 17 15 2 42 19
w6Gp,0 1 7 27 2 15 35 11 17 36
5GGp,1 0 16 11 5 35 15 7 2 12
f9Gp,0 1 17 2 15 7 19 12 14 35
HdGp,1 0 35 36 15 7 11 27 2 16
fwGp,5 4 6 3 14 15 13 16 10 8
uuGp,10 9 4 6 13 34 0 8 15 3
MnGp,10 4 97 13 9 351 243 3 6 15
JwGp,11 5 15 18 49 16 26 1 390 0
ooGp,4 10 9 6 13 3 8 18 28 15
FGGp,5 0 6 3 1 15 4 8 18 13
hoGp,12 0 19 15 1 17 16 5 6 2
XQGp,39 50 13 4 15 6 66 65 11 18
FrGp,15 11 6 1 4 2 8 18 9 16
LMGp,13 3 4 6 8 10 9 41 15 54
YqGp,1 0 5 16 35 15 11 19 12 2
ZZGp,0 1 15 2 12 17 23 7 18 21
J2Gp,10 4 9 13 6 3 18 15 300 8
puGp,0 1 49 15 5 23 21 18 80 24
mFGp,0 12 8 3 13 15 4 6 18 2
ZTGp,1 0 27 2 15 11 7 42 21 17
LpGp,6 3 8 4 13 10 15 9 18 12
cFGp,3 6 4 13 9 10 8 28 18 15
